University Name,No,Country,Group
Massachusetts Institute of Technology,11,United States,North American
University of Oxford,5,British,European
Stanford University,3,United States,North American
University of Cambridge,7,British,European
Harvard University,1,United States,North American
California Institute of Technology,102,United States,North American
Imperial College London,13,British,European
Swiss Federal Institute of Technology Zurich,41,Switzerland,European
University College London,4,British,European
University of Chicago,36,United States,North American
National University of Singapore,32,Singapore,Asia/Oceania
Nanyang Technological University,58,Singapore,Asia/Oceania
University of Pennsylvania,15,United States,North American
Swiss Federal Institute of Technology in Lausanne,138,Switzerland,European
Yale University,27,United States,North American
University of Edinburgh,55,British,European
Tsinghua University,12,China,Asia/Oceania
Peking University,21,China,Asia/Oceania
Columbia University,17,United States,North American
Princeton University,123,United States,North American
Cornell University,28,United States,North American
University of Hong Kong,129,"HongKong, China",Asia/Oceania
University of Tokyo,31,Japan,Asia/Oceania
"University of Michigan, Ann Arbor",8,United States,North American
Johns Hopkins University,6,United States,North American
University of Toronto,2,Canada,North American
McGill University,47,Canada,North American
Australian National University,135,Australia,Asia/Oceania
University of Manchester,53,British,European
Northwestern University,46,United States,North American
Fudan University,54,China,Asia/Oceania
"University of California, Berkeley",22,United States,North American
Kyoto University,83,Japan,Asia/Oceania
Hong Kong University of Science and Technology,201,"HongKong, China",Asia/Oceania
King's College London,59,British,European
Seoul National University,51,South Korea,Asia/Oceania
University of Melbourne,25,Australia,Asia/Oceania
University of Sydney,24,Australia,Asia/Oceania
Chinese University of Hong Kong,201,"HongKong, China",Asia/Oceania
"University of California, Los Angeles",16,United States,North American
Korea Advanced Institute of Science and Technology,201,South Korea,Asia/Oceania
New York University,67,United States,North American
University of New South Wales,43,Australia,Asia/Oceania
Paris Sciences & Lettres-PSL University,201,France,European
Zhejiang University,20,China,Asia/Oceania
University of British Columbia,29,Canada,North American
University of Queensland,35,Australia,Asia/Oceania
"University of California, San Diego",26,United States,North American
Institut Polytechnique de Paris,201,France,European
London School of Economics and Political Science,201,British,European
Shanghai Jiao Tong University,18,China,Asia/Oceania
Technical University of Munich,75,Germany,European
Duke University,34,United States,North American
Carnegie Mellon University,201,United States,North American
City University of Hong Kong,197,"HongKong, China",Asia/Oceania
University of Amsterdam,40,The Netherlands,European
Tokyo Institute of Technology,201,Japan,Asia/Oceania
Delft University of Technology,182,The Netherlands,European
Monash University,37,Australia,Asia/Oceania
Brown University,170,United States,North American
University of Warwick,177,British,European
University of Bristol,112,British,European
Ruprecht Karls University Heidelberg,57,Germany,European
University of Munich,62,Germany,European
Universiti Malaya,201,Malaysia,Asia/Oceania
Hong Kong Polytechnic University,175,"HongKong, China",Asia/Oceania
"University of Texas, Austin",81,United States,North American
National Taiwan University,126,"Taiwan, China",Asia/Oceania
Universidad de Buenos Aires,201,Argentina,other
KU Leuven,38,Belgium,European
